"","vertex","cluster","color"
"1",0,394,"white"
"2",3,116,"#0073C2FF"
"3",5,533,"#8F7700FF"
"4",7,165,"#CD534CFF"
"5",14,445,"#EFC000FF"
"6",16,577,"white"
"7",25,1406,"#7AA6DCFF"
"8",27,1406,"#7AA6DCFF"
"9",30,488,"#003C67FF"
"10",33,848,"white"
"11",35,1406,"#7AA6DCFF"
"12",36,848,"white"
"13",38,1406,"#7AA6DCFF"
"14",41,848,"white"
"15",42,445,"#EFC000FF"
"16",44,165,"#CD534CFF"
"17",46,445,"#EFC000FF"
"18",49,445,"#EFC000FF"
"19",51,116,"#0073C2FF"
"20",54,533,"#8F7700FF"
"21",56,445,"#EFC000FF"
"22",73,445,"#EFC000FF"
"23",74,445,"#EFC000FF"
"24",75,106,"white"
"25",80,1406,"#7AA6DCFF"
"26",81,445,"#EFC000FF"
"27",83,445,"#EFC000FF"
"28",84,445,"#EFC000FF"
"29",93,116,"#0073C2FF"
"30",94,445,"#EFC000FF"
"31",95,1406,"#7AA6DCFF"
"32",96,1406,"#7AA6DCFF"
"33",99,394,"white"
"34",101,533,"#8F7700FF"
"35",102,445,"#EFC000FF"
"36",103,445,"#EFC000FF"
"37",105,182,"#868686FF"
"38",107,838,"white"
"39",109,116,"#0073C2FF"
"40",112,751,"white"
"41",113,116,"#0073C2FF"
"42",189,1,"white"
"43",190,1406,"#7AA6DCFF"
"44",197,848,"white"
"45",198,116,"#0073C2FF"
"46",323,488,"#003C67FF"
"47",334,533,"#8F7700FF"
"48",336,1406,"#7AA6DCFF"
"49",337,533,"#8F7700FF"
"50",339,578,"white"
"51",341,138,"#A73030FF"
"52",343,445,"#EFC000FF"
"53",353,445,"#EFC000FF"
"54",361,445,"#EFC000FF"
"55",363,165,"#CD534CFF"
"56",369,445,"#EFC000FF"
"57",371,116,"#0073C2FF"
"58",373,488,"#003C67FF"
"59",374,1406,"#7AA6DCFF"
"60",375,116,"#0073C2FF"
"61",377,182,"#868686FF"
"62",379,445,"#EFC000FF"
"63",380,445,"#EFC000FF"
"64",383,579,"white"
"65",385,165,"#CD534CFF"
"66",388,488,"#003C67FF"
"67",391,445,"#EFC000FF"
"68",392,116,"#0073C2FF"
"69",393,445,"#EFC000FF"
"70",394,585,"white"
"71",400,445,"#EFC000FF"
"72",401,445,"#EFC000FF"
"73",402,165,"#CD534CFF"
"74",406,445,"#EFC000FF"
"75",436,116,"#0073C2FF"
"76",437,445,"#EFC000FF"
"77",438,445,"#EFC000FF"
"78",439,445,"#EFC000FF"
"79",440,584,"#3B3B3BFF"
"80",442,165,"#CD534CFF"
"81",501,1406,"#7AA6DCFF"
"82",509,445,"#EFC000FF"
"83",511,445,"#EFC000FF"
"84",516,838,"white"
"85",518,116,"#0073C2FF"
"86",520,186,"white"
"87",531,182,"#868686FF"
"88",533,580,"white"
"89",535,116,"#0073C2FF"
"90",575,116,"#0073C2FF"
"91",577,292,"white"
"92",199,116,"#0073C2FF"
"93",606,848,"white"
"94",609,165,"#CD534CFF"
"95",612,1406,"#7AA6DCFF"
"96",614,116,"#0073C2FF"
"97",615,116,"#0073C2FF"
"98",617,1406,"#7AA6DCFF"
"99",620,445,"#EFC000FF"
"100",624,116,"#0073C2FF"
"101",630,751,"white"
"102",632,445,"#EFC000FF"
"103",634,445,"#EFC000FF"
"104",638,165,"#CD534CFF"
"105",639,1406,"#7AA6DCFF"
"106",640,138,"#A73030FF"
"107",642,116,"#0073C2FF"
"108",643,116,"#0073C2FF"
"109",645,165,"#CD534CFF"
"110",647,445,"#EFC000FF"
"111",650,564,"white"
"112",652,581,"white"
"113",654,445,"#EFC000FF"
"114",753,488,"#003C67FF"
"115",878,165,"#CD534CFF"
