title	abstract	publication_year	authors	source	publication_month	publication_day
Fillon 1	Simplifier et renforcer les allègements de charges sociales pour réduire le coût du travail et créer des emplois. Renforcer les allègements existants par un nouvel allègement de charges sociales et d’impôts de production, de 25 Mds€, portant sur tous les salaires, pour redonner un nouveau souffle à l’économie française. Cet allègement montera progressivement en charge jusqu’en 2020. Transformer le CICE qui est un crédit d’impôt complexe, en baisse des charges patronales pour un montant équivalent, durable et lisible.	2017	François Fillon	Les Républicains	3	14
Fillon 2	Réduire l’impôt sur les sociétés et stabiliser la loi fiscale pour renforcer l’attractivité de la France et créer des emplois. Alléger l’impôt sur les sociétés (IS) pour renforcer la compétitivité de nos entreprises et la création d’emplois en France. Les contributions additionnelles à l’IS seront supprimées en 2018 et le taux d’IS sera diminué progressivement pour atteindre environ 25% au terme du quinquennat. Cette mesure représente un effort de l’ordre de 10 Mds€ et permettra de tendre vers le taux moyen de l’Union européenne. Prolonger jusqu’en 2019 le dispositif de suramortissement exceptionnel des investissements, pour soutenir l’investissement et la trésorerie des entreprises industrielles. Stabiliser et rendre lisible notre politique fiscale pendant cinq ans, après avoir annoncé les grandes mesures fiscales du quinquennat, pour donner de la lisibilité aux acteurs économiques.	2017	François Fillon	Les Républicains	3	14
Fillon 3	Faire disparaître la peur d’embaucher. Faciliter les recrutements dans les petites entreprises à travers une rénovation du contrat de travail (contrat de mission pour une durée limitée, contrat à causes de rupture prédéfinies…). Permettre aux entreprises qui doivent s’adapter en permanence de conforter leur compétitivité en clarifiant les règles du licenciement économique. Sécuriser la rupture du contrat en plafonnant les indemnités prud’homales. Refonder le code du travail en donnant la priorité au dialogue social Refonder et simplifier le code du travail en distinguant clairement les normes sociales fondamentales et ce qui relève de l’accord collectif (en priorité d’entreprise ou, à défaut, de branche). Doubler les seuils sociaux (de 10 à 20 et de 50 à 100), pour faciliter l’embauche dans les petites entreprises. Rendre possible le recours au référendum d’entreprise à l’initiative du chef d’entreprise.Instituer la liberté de candidature au premier tour des élections professionnelles, dans le cadre d’une rénovation de notre système de négociation collective. Prévoir, dans les entreprises, une instance unique pour la représentation du personnel. Cette instance regroupera les actuels Délégués du Personnel, Comité d’Entreprise et Comité Hygiène, Sécurité et  conditions de Travail (CHSCT). Ses prérogatives et ses moyens seront croissants en fonction de l’effectif de l’entreprise. Par accord collectif, les entreprises qui le souhaitent pourront conserver des instances distinctes. Moderniser les conditions d’exercice du mandat de représentant du personnel : limiter le temps consacré au mandat à 50% du temps de travail pour valoriser et dynamiser la représentation du personnel dans l’entreprise, et en parallèle, valoriser l’expérience syndicale sur le plan des compétences et de la gestion de carrière.	2017	François Fillon	Les Républicains	3	14
Fillon 4	"Lever le verrou des 35 heures. Mettre fin à la durée légale du travail à 35 heures et laisser chaque entreprise décider de son temps de travail par la négociation et la signature d’accords collectifs. L’accord collectif majoritaire s’imposera  au contrat de travail. Les accords devront être "" gagnant-gagnant "" : aucun accord ne pourra se traduire par une réduction salariale, par rapport à la situation actuelle. Une durée de référence de 39 heures sera introduite pour le cas particulier des entreprises sans dispositions conventionnelles sur le temps de travail (nouvelle entreprise par exemple)."	2017	François Fillon	Les Républicains	3	14
Fillon 5	"Donner à chacun les moyens de se former et de retrouver un emploi. Sécuriser les parcours professionnels en permettant à chaque Français de bénéficier d’un ""capital formation"" qui remplacera les dispositifs existants (CPF, CIF…) et permettra de rationaliser et de débureaucratiser les fonds de la formation professionnelle, en donnant à chaque salarié et à chaque demandeur d’emploi l’opportunité de se construire une carrière et de se prémunir contre l’inactivité. Faciliter le retour à l’emploi des demandeurs d’emplois, en favorisant, sur les listes de demande d’accès  aux logements sociaux, les demandeurs d’emplois qui retrouveraient un emploi en dehors de leur bassin de vie."	2017	François Fillon	Les Républicains	3	14
Fillon 6	Sauver l’assurance chômage.  Redresser les comptes de l’Unédic avant la fin de la mandature et engager le remboursement de ses 40  Mds€ de dettes, en invitant les partenaires sociaux à parvenir, à l’automne 2017, à un accord pour le  redressement complet des comptes de l’assurance chômage sur le quinquennat. A défaut d’accord, l’Etat prendra ses responsabilités en réformant lui-même la gestion du régime d’assurance chômage. Encourager la reprise d’activité, en réformant les règles du régime d’assurance chômage, notamment via l’introduction d’une dégressivité dans l’attribution des allocations. Responsabiliser les demandeurs d’emplois en rendant obligatoire la motivation d’un refus d’emploi et en sanctionnant un deuxième refus insuffisamment motivé.	2017	François Fillon	Les Républicains	3	14
Fillon 7	Pérénniser notre système de retraite. Faire passer progressivement l’âge légal à 65 ans. Le dispositif de départ pour carrières longues sera étendu pour permettre aux personnes ayant commencé à travailler jeunes de prendre leur retraite dès 63 ans. L’âge maximal du taux plein sera maintenu à 67 ans. Poursuivre l’harmonisation des règles entre les régimes publics et privés. S’agissant des régimes spéciaux d’entreprises, les nouveaux entrants seront affiliés au régime général. Abroger le compte pénibilité inapplicable car trop complexe. Traiter la pénibilité par l’amélioration des conditions de travail, une politique de prévention plus ambitieuse et une prise en compte de la situation réelle des salariés notamment à travers un examen médical individuel, permettant une meilleure reconnaissance de l’incapacité au travail et de l’inaptitude. Augmenter les pensions de base de plus de 300€ annuels pour les petites retraites, c’est-à-dire les personnes ayant un montant global de pension moins de 1 000€. Revaloriser les petites pensions de réversion de 10%, ce qui bénéficiera à plus de 300 000 veuves et veufs.	2017	François Fillon	Les Républicains	3	14
Fillon 8	"Réinventer l’orientation. Améliorer l’information des jeunes et des parents en intégrant, dans le "" Portail de l’Alternance "" les opportunités professionnelles à l’échelle de chaque bassin d’emploi, ainsi que les taux d’emploi pour  chaque filière et établissement à la sortie, à 3 ans et à 5 ans, les places disponibles en CFA, les recherches d’alternants des entreprises. Ce portail sera mis à la disposition de tous les acteurs de l’emploi. Développer le dispositif de pré-apprentissage, notamment dans les écoles de la deuxième chance, grâce aux régions qui développeront ces dispositifs, en s’appuyant également sur le service public de l’emploi (Pôle emploi, missions locales). Mettre en place dès le collège des ""modules d’éducation"" pour préparer les jeunes dans leurs choix d’orientation (éducatifs ou professionnels). Introduire dans les programmes davantage de contenu qui soit en lien avec la vie professionnelle future des élèves, en formant les jeunes dès le collège, avec l’obligation de faire au moins 6 semaines de stages durant cette période (2 semaines en 4e et 4 en 3e). Encourager également les stages professionnels au lycée. "	2017	François Fillon	Les Républicains	3	14
Fillon 9	Transformer l’enseignement professionnel et sa gouvernance. Généraliser progressivement l’apprentissage dans l’enseignement professionnel, en développant rapidement des sections d’apprentissage dans les lycées professionnels, en organisant des jumelages entre CFA et lycées professionnels, en décloisonnant les parcours des jeunes et en permettant des réorientations. Confier la gestion des centres de formation des apprentis (CFA) et des lycées professionnels aux régions, en association avec les branches. Les chefs d’établissement devront disposer d’une autonomie d’action et de moyens dans le cadre d’objectifs fixés annuellement.	2017	François Fillon	Les Républicains	3	14
Fillon 10	Faciliter et renforcer l’engagement des entreprises. pour l’apprentissage Mettre en place une exonération totale des charges sociales pour l’embauche d’un jeune en alternance, et lancer une grande campagne de promotion de l’alternance. Revoir le rythme de l’alternance pour le rendre plus compatible avec celui de l’entreprise, en permettant une plus grande modularité des temps de présence, en accord avec l’établissement scolaire.  Aligner les conditions de sécurité des alternants sur celles exigées pour les salariés. Offrir une plus grande	2017	François Fillon	Les Républicains	3	14
