"vertex","cluster","color"
0,394,"white"
3,116,"#0073C2FF"
5,533,"#8F7700FF"
7,165,"#CD534CFF"
14,445,"#EFC000FF"
16,577,"white"
25,1406,"#7AA6DCFF"
27,1406,"#7AA6DCFF"
30,488,"#003C67FF"
33,848,"white"
35,1406,"#7AA6DCFF"
36,848,"white"
38,1406,"#7AA6DCFF"
41,848,"white"
42,445,"#EFC000FF"
44,165,"#CD534CFF"
46,445,"#EFC000FF"
49,445,"#EFC000FF"
51,116,"#0073C2FF"
54,533,"#8F7700FF"
56,445,"#EFC000FF"
73,445,"#EFC000FF"
74,445,"#EFC000FF"
75,106,"white"
80,1406,"#7AA6DCFF"
81,445,"#EFC000FF"
83,445,"#EFC000FF"
84,445,"#EFC000FF"
93,116,"#0073C2FF"
94,445,"#EFC000FF"
95,1406,"#7AA6DCFF"
96,1406,"#7AA6DCFF"
99,394,"white"
101,533,"#8F7700FF"
102,445,"#EFC000FF"
103,445,"#EFC000FF"
105,182,"#868686FF"
107,838,"white"
109,116,"#0073C2FF"
112,751,"white"
113,116,"#0073C2FF"
189,1,"white"
190,1406,"#7AA6DCFF"
197,848,"white"
198,116,"#0073C2FF"
323,488,"#003C67FF"
334,533,"#8F7700FF"
336,1406,"#7AA6DCFF"
337,533,"#8F7700FF"
339,578,"white"
341,138,"#A73030FF"
343,445,"#EFC000FF"
353,445,"#EFC000FF"
361,445,"#EFC000FF"
363,165,"#CD534CFF"
369,445,"#EFC000FF"
371,116,"#0073C2FF"
373,488,"#003C67FF"
374,1406,"#7AA6DCFF"
375,116,"#0073C2FF"
377,182,"#868686FF"
379,445,"#EFC000FF"
380,445,"#EFC000FF"
383,579,"white"
385,165,"#CD534CFF"
388,488,"#003C67FF"
391,445,"#EFC000FF"
392,116,"#0073C2FF"
393,445,"#EFC000FF"
394,585,"white"
400,445,"#EFC000FF"
401,445,"#EFC000FF"
402,165,"#CD534CFF"
406,445,"#EFC000FF"
436,116,"#0073C2FF"
437,445,"#EFC000FF"
438,445,"#EFC000FF"
439,445,"#EFC000FF"
440,584,"#3B3B3BFF"
442,165,"#CD534CFF"
501,1406,"#7AA6DCFF"
509,445,"#EFC000FF"
511,445,"#EFC000FF"
516,838,"white"
518,116,"#0073C2FF"
520,186,"white"
531,182,"#868686FF"
533,580,"white"
535,116,"#0073C2FF"
575,116,"#0073C2FF"
577,292,"white"
